method,coverage,s,n,R2_fs
"VIPER ($A = \{0\}, \chi^2$)",0.015,5,500,0.1
"VIPER ($A = \{0\}$, MC)",0.055,5,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.79,5,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.935,5,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",1,5,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.995,5,500,0.1
TSLS,0.005,5,500,0.1
PGMM-g,0.02,5,500,0.1
gIVBMA,0.06,5,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",0.835,5,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,500,0.1
CIIV,0.005,5,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.93,0,500,0.25
"VIPER ($A = \{0\}$, MC)",0.965,0,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1,0,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",1,0,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.78,0,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.93,0,500,0.25
TSLS,0.93,0,500,0.25
PGMM-g,0.995,0,500,0.25
gIVBMA,0.94,0,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1,0,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,0,500,0.25
CIIV,0.92,0,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.885,1,500,0.25
"VIPER ($A = \{0\}$, MC)",0.69,1,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.98,1,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.965,1,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.825,1,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.925,1,500,0.25
TSLS,0.79,1,500,0.25
PGMM-g,0.935,1,500,0.25
gIVBMA,0.945,1,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.87,1,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,1,500,0.25
CIIV,0.825,1,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.545,2,500,0.25
"VIPER ($A = \{0\}$, MC)",0.35,2,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.915,2,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.925,2,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,2,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,2,500,0.25
TSLS,0.36,2,500,0.25
PGMM-g,0.695,2,500,0.25
gIVBMA,0.805,2,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.86,2,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,2,500,0.25
CIIV,0.435,2,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.18,3,500,0.25
"VIPER ($A = \{0\}$, MC)",0.17,3,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.875,3,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.925,3,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.975,3,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.95,3,500,0.25
TSLS,0.095,3,500,0.25
PGMM-g,0.35,3,500,0.25
gIVBMA,0.435,3,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.88,3,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,3,500,0.25
CIIV,0.165,3,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.055,4,500,0.25
"VIPER ($A = \{0\}$, MC)",0.09,4,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.835,4,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.95,4,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.99,4,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,4,500,0.25
TSLS,0.025,4,500,0.25
PGMM-g,0.09,4,500,0.25
gIVBMA,0.15,4,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.83,4,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,4,500,0.25
CIIV,0.025,4,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0,5,500,0.25
"VIPER ($A = \{0\}$, MC)",0.01,5,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.76,5,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.915,5,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",1,5,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",1,5,500,0.25
TSLS,0,5,500,0.25
PGMM-g,0,5,500,0.25
gIVBMA,0,5,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",0.87,5,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1,5,500,0.25
CIIV,0,5,500,0.25
