method,coverage,mil,s,n,R2_fs
LeakyIV ($\tau = 0.2$),1.0,37.97500912473211,5,50,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,10.335479880094823,5,50,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,14.33014710608721,5,50,0.25
CIIV,0.46,0.7639198922303209,5,50,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.94,0.5446617740476266,0,500,0.1
"VIPER ($A = \{0\}$, MC)",0.96,NaN,0,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1.0,1.646406537856907,0,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",1.0,NaN,0,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.79,1.6992682556177097,0,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,NaN,0,500,0.1
TSLS,0.9,0.49852385198138727,0,500,0.1
PGMM-g,0.98,0.6890335606814406,0,500,0.1
gIVBMA,0.96,0.5932583629786639,0,500,0.1
LeakyIV ($\tau = 0.2$),1.0,64.41469604744904,0,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,3.2600432523379492,0,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,7.5302438706023285,0,500,0.1
CIIV,0.94,0.5003179281002778,0,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.84,0.5227232009779867,1,500,0.1
"VIPER ($A = \{0\}$, MC)",0.68,NaN,1,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.99,1.4542365457837398,1,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.99,NaN,1,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.91,1.5545972562894592,1,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,NaN,1,500,0.1
TSLS,0.68,0.4592869945474873,1,500,0.1
PGMM-g,0.9,0.6750332106153996,1,500,0.1
gIVBMA,0.9,0.6222118446739702,1,500,0.1
LeakyIV ($\tau = 0.2$),1.0,63.76725477202924,1,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,3.359240347095682,1,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,7.737047624935207,1,500,0.1
CIIV,0.79,0.5084370896425434,1,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.63,0.5394440081753138,2,500,0.1
"VIPER ($A = \{0\}$, MC)",0.32,NaN,2,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.95,1.3915307261404506,2,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,2,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,1.5351279940132305,2,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.93,NaN,2,500,0.1
TSLS,0.4,0.45373499655069227,2,500,0.1
PGMM-g,0.66,0.6845283021676178,2,500,0.1
gIVBMA,0.79,0.7435020143733928,2,500,0.1
LeakyIV ($\tau = 0.2$),1.0,63.679220328774335,2,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,3.1794507601771542,2,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,7.413948938779927,2,500,0.1
CIIV,0.45,0.4729299426871403,2,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.29,0.5280597995073006,3,500,0.1
"VIPER ($A = \{0\}$, MC)",0.11,NaN,3,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.91,1.3644318495546561,3,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.94,NaN,3,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.93,1.4030962082180374,3,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.92,NaN,3,500,0.1
TSLS,0.07,0.45895654870262037,3,500,0.1
PGMM-g,0.26,0.6876569286580416,3,500,0.1
gIVBMA,0.52,0.7643245165521704,3,500,0.1
LeakyIV ($\tau = 0.2$),1.0,65.17698321096543,3,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,2.9709351272726967,3,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,7.000412160682702,3,500,0.1
CIIV,0.18,0.4653147591979405,3,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.1,0.5087405478213349,4,500,0.1
"VIPER ($A = \{0\}$, MC)",0.09,NaN,4,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.84,1.4725464582105796,4,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.9,NaN,4,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",1.0,1.5309546613625908,4,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.97,NaN,4,500,0.1
TSLS,0.01,0.4446907782194345,4,500,0.1
PGMM-g,0.13,0.6770276586767453,4,500,0.1
gIVBMA,0.22,0.5840218053006531,4,500,0.1
LeakyIV ($\tau = 0.2$),1.0,61.958571535901115,4,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,2.869792412880689,4,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,6.8211512470320015,4,500,0.1
CIIV,0.03,0.44394891925544755,4,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.0,0.4813913703368802,5,500,0.1
"VIPER ($A = \{0\}$, MC)",0.0,NaN,5,500,0.1
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.8,1.697896203515875,5,500,0.1
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.96,NaN,5,500,0.1
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",1.0,1.6816170861615007,5,500,0.1
"VIPER ($A = [0.0, 0.2]^p$, MC)",1.0,NaN,5,500,0.1
TSLS,0.0,0.45065515389765953,5,500,0.1
PGMM-g,0.0,0.6791821995047552,5,500,0.1
gIVBMA,0.02,0.49975909973456767,5,500,0.1
LeakyIV ($\tau = 0.2$),1.0,63.28689597859558,5,500,0.1
"BudgetIV ($b = 1, \tau = 0$)",1.0,2.9661283168954378,5,500,0.1
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,6.951896701919529,5,500,0.1
CIIV,0.0,0.44498774748903225,5,500,0.1
"VIPER ($A = \{0\}, \chi^2$)",0.96,0.3055633589004918,0,500,0.25
"VIPER ($A = \{0\}$, MC)",0.94,NaN,0,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",1.0,0.8954814168585132,0,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",1.0,NaN,0,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.68,0.9276153181384054,0,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,NaN,0,500,0.25
TSLS,0.96,0.29800301605571017,0,500,0.25
PGMM-g,1.0,0.4239519177004831,0,500,0.25
gIVBMA,0.97,0.33542514451219335,0,500,0.25
LeakyIV ($\tau = 0.2$),1.0,37.169010370095116,0,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,1.4465261825088462,0,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,3.353564643321701,0,500,0.25
CIIV,0.93,0.28951265918667235,0,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.9,0.29941547019867526,1,500,0.25
"VIPER ($A = \{0\}$, MC)",0.74,NaN,1,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.99,0.8650803692410503,1,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.97,NaN,1,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.86,0.8996186261952501,1,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,NaN,1,500,0.25
TSLS,0.8,0.28756669650983835,1,500,0.25
PGMM-g,0.97,0.41406575080799196,1,500,0.25
gIVBMA,0.92,0.34139659502350017,1,500,0.25
LeakyIV ($\tau = 0.2$),1.0,37.65454851315823,1,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,1.4586508171400836,1,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,3.4152417234014223,1,500,0.25
CIIV,0.78,0.2952206894870359,1,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.54,0.2864539048604391,2,500,0.25
"VIPER ($A = \{0\}$, MC)",0.26,NaN,2,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.88,0.7119065387077761,2,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.89,NaN,2,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.9,0.772731486002848,2,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.95,NaN,2,500,0.25
TSLS,0.33,0.274672327087758,2,500,0.25
PGMM-g,0.66,0.40034464852705576,2,500,0.25
gIVBMA,0.79,0.36550769401009386,2,500,0.25
LeakyIV ($\tau = 0.2$),1.0,37.45259900829711,2,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,1.4749670350717252,2,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,3.375613313489226,2,500,0.25
CIIV,0.53,0.2903000700920719,2,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.21,0.28558378088909697,3,500,0.25
"VIPER ($A = \{0\}$, MC)",0.1,NaN,3,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.87,0.7140516571380808,3,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.93,NaN,3,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.94,0.7432453604642159,3,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.94,NaN,3,500,0.25
TSLS,0.09,0.27429927545501376,3,500,0.25
PGMM-g,0.28,0.40201912777535836,3,500,0.25
gIVBMA,0.5,0.37226994279407993,3,500,0.25
LeakyIV ($\tau = 0.2$),1.0,36.95726210858464,3,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,1.4405635607661498,3,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,3.310291443185377,3,500,0.25
CIIV,0.18,0.2781449205916673,3,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.03,0.27213701024831805,4,500,0.25
"VIPER ($A = \{0\}$, MC)",0.05,NaN,4,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.81,0.7616649351333422,4,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.93,NaN,4,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",0.97,0.7937882021193255,4,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",0.96,NaN,4,500,0.25
TSLS,0.02,0.2620394051983497,4,500,0.25
PGMM-g,0.06,0.4023272055087148,4,500,0.25
gIVBMA,0.11,0.3258808634073813,4,500,0.25
LeakyIV ($\tau = 0.2$),1.0,37.712015167733284,4,500,0.25
"BudgetIV ($b = 1, \tau = 0$)",1.0,1.4630954028512104,4,500,0.25
"BudgetIV ($b = 1, \tau = 0.2$)",1.0,3.4020158650111267,4,500,0.25
CIIV,0.01,0.27055544388630604,4,500,0.25
"VIPER ($A = \{0\}, \chi^2$)",0.0,0.2640004536409476,5,500,0.25
"VIPER ($A = \{0\}$, MC)",0.05,NaN,5,500,0.25
"VIPER ($A = [-0.1, 0.1]^p, \chi^2$)",0.78,0.9247049539054144,5,500,0.25
"VIPER ($A = [-0.1, 0.1]^p$, MC)",0.91,NaN,5,500,0.25
"VIPER ($A = [0.0, 0.2]^p, \chi^2$)",1.0,0.9439618161568303,5,500,0.25
"VIPER ($A = [0.0, 0.2]^p$, MC)",1.0,NaN,5,500,0.25
TSLS,0.0,0.26136179539233084,5,500,0.25
PGMM-g,0.03,0.395034006050508,5,500,0.25
